Date_of_Sale,Customer_Name,Age,Gender,Location,Laptop_Brand,Model,Processor,RAM_Size,Storage_Size,Price,Discount_Applied,Final_Price,Payment_Method,Warranty_Period,Customer_Rating,Sales_Channel
13-01-2025,Ricky Brown,61,Female,Chadfurt,HP,HP 186,i5,8GB,256GB SSD,9290,13,8082.3,Credit Card,2,2,Offline
07-01-2025,Kristine Williams,63,Other,East Ericside,Asus,Asus 563,i5,8GB,1TB SSD,20400,5,19380,Cash,2,3,Offline
17-01-2025,Jessica Stokes,56,Male,Davidberg,Dell,Dell 300,Ryzen 3,16GB,1TB SSD,24930,14,21439.8,Credit Card,3,1,Online
18-01-2025,Christopher Cox,32,Other,Edwardmouth,HP,HP 673,Ryzen 3,32GB,512GB SSD,5160,16,4334.4,Debit Card,3,2,Online
10-01-2025,Jason Santos,21,Other,Stacyberg,HP,HP 347,Ryzen 5,4GB,1TB HDD,24500,17,20335,Credit Card,2,3,Online
02-01-2025,Kimberly Nguyen,29,Male,East Robert,MSI,MSI 602,i5,8GB,512GB SSD,6660,16,5594.4,Debit Card,3,4,Offline
13-01-2025,Ashley Thompson,64,Other,Ericaside,HP,HP 855,i7,32GB,512GB SSD,14310,27,10446.3,UPI,1,1,Online
10-01-2025,Tracy Walton,60,Other,South Maryfort,Dell,Dell 983,Ryzen 7,4GB,256GB SSD,16200,5,15390,Cash,1,1,Offline
12-01-2025,Erin Powers,24,Female,Lake Carlostown,Asus,Asus 158,Ryzen 7,4GB,512GB SSD,17470,10,15723,Net Banking,3,1,Offline
11-01-2025,Richard Garza,36,Female,Debratown,Apple,Apple 187,Ryzen 5,8GB,1TB SSD,14760,15,12546,Cash,1,2,Offline
08-01-2025,John Sanford,50,Other,Martinezville,Dell,Dell 421,Ryzen 3,32GB,256GB SSD,23770,13,20679.9,Net Banking,1,1,Online
05-01-2025,Brittney Boyd,60,Female,Lancetown,Lenovo,Lenovo 486,i7,16GB,256GB SSD,17800,23,13706,Cash,2,5,Offline
04-01-2025,Tracy Ortiz,42,Other,Melissaborough,HP,HP 341,Ryzen 3,8GB,1TB HDD,23950,7,22273.5,UPI,2,1,Offline
13-01-2025,Keith Hinton,28,Other,Lindsaymouth,MSI,MSI 847,i3,4GB,1TB SSD,5170,13,4497.9,Debit Card,1,4,Offline
23-01-2025,Douglas Spencer,19,Other,South Cathychester,Apple,Apple 228,i3,4GB,1TB HDD,4920,29,3493.2,Credit Card,2,3,Online
05-01-2025,Paula Kaufman,53,Other,Bethberg,Dell,Dell 367,Ryzen 7,16GB,512GB SSD,22400,15,19040,Debit Card,3,2,Online
23-01-2025,Leah Meyer,51,Other,Jessicaview,HP,HP 509,i7,8GB,512GB SSD,5680,4,5452.8,Net Banking,3,3,Offline
22-01-2025,Joseph Scott,44,Female,Mercerside,Apple,Apple 121,i5,32GB,512GB SSD,18080,23,13921.6,Cash,2,2,Offline
23-01-2025,Tyler Ross,34,Male,West Victoriaton,Samsung,Samsung 994,i3,32GB,1TB HDD,18960,5,18012,UPI,2,3,Online
08-01-2025,Virginia Hall,43,Male,Cookchester,Asus,Asus 448,Ryzen 5,8GB,1TB HDD,10850,30,7595,Credit Card,3,1,Offline
23-01-2025,Marcus Colon,37,Female,West Michael,Acer,Acer 983,i7,4GB,512GB SSD,7460,11,6639.4,Debit Card,3,5,Online
03-01-2025,Ronald Morgan,35,Female,Mooretown,Apple,Apple 576,Ryzen 5,4GB,1TB HDD,4530,9,4122.3,Credit Card,2,2,Online
05-01-2025,Jessica Ware,31,Female,New Gregg,Lenovo,Lenovo 948,Ryzen 5,16GB,1TB HDD,8000,12,7040,Debit Card,1,1,Online
02-01-2025,Christopher Williams,63,Other,Wandaborough,Samsung,Samsung 638,Ryzen 3,4GB,256GB SSD,11130,7,10350.9,Cash,1,2,Online
06-01-2025,Brandi Cisneros,26,Female,Richardstad,Asus,Asus 331,i3,32GB,256GB SSD,6140,30,4298,Credit Card,3,5,Offline
23-01-2025,Jennifer Morales,42,Male,Petermouth,Samsung,Samsung 612,Ryzen 3,4GB,256GB SSD,10570,6,9935.8,Credit Card,1,5,Offline
12-01-2025,Craig Petty,44,Male,East Nathanielville,Apple,Apple 957,Ryzen 5,4GB,512GB SSD,18450,10,16605,Net Banking,3,4,Offline
21-01-2025,Lisa Higgins,56,Male,South John,MSI,MSI 103,Ryzen 5,8GB,1TB SSD,18060,19,14628.6,UPI,1,1,Offline
20-01-2025,Jennifer Pratt,56,Male,Barnesville,HP,HP 991,Ryzen 5,16GB,256GB SSD,14970,7,13922.1,Debit Card,2,5,Offline
16-01-2025,Frances Harrison,19,Other,East Virginiafort,Apple,Apple 874,Ryzen 3,8GB,512GB SSD,9450,30,6615,Debit Card,3,5,Online
23-01-2025,Patricia Allen,22,Male,Vickieshire,Samsung,Samsung 381,i7,16GB,1TB SSD,6140,2,6017.2,UPI,1,3,Offline
04-01-2025,Jeremy Kelly,65,Male,West Teresa,Asus,Asus 745,i3,16GB,512GB SSD,23160,29,16443.6,Net Banking,2,4,Online
17-01-2025,Theresa Howell,25,Other,Garyberg,Apple,Apple 536,i3,4GB,512GB SSD,5260,16,4418.4,Debit Card,2,4,Online
10-01-2025,Ronnie Roberts,19,Female,Erinbury,Apple,Apple 801,Ryzen 3,4GB,1TB HDD,11710,3,11358.7,Debit Card,1,3,Offline
15-01-2025,Patrick Price,21,Female,Clarkview,Apple,Apple 546,Ryzen 5,4GB,1TB SSD,22870,13,19896.9,Cash,3,2,Offline
06-01-2025,Joshua Smith,36,Other,West Chloe,Dell,Dell 218,i5,16GB,256GB SSD,24610,14,21164.6,Debit Card,2,3,Offline
08-01-2025,Mary Hoffman,60,Other,Emilytown,Apple,Apple 517,i3,8GB,512GB SSD,18330,19,14847.3,Credit Card,1,1,Offline
19-01-2025,James Lee,62,Other,Cunninghamland,Dell,Dell 720,i3,16GB,256GB SSD,14850,9,13513.5,Cash,1,1,Offline
08-01-2025,Robert Turner,55,Male,North Robertfort,MSI,MSI 874,Ryzen 5,32GB,1TB SSD,15140,26,11203.6,Cash,3,5,Online
20-01-2025,Sharon Jones,51,Female,Port Andreaborough,Apple,Apple 648,i7,32GB,512GB SSD,9010,10,8109,Cash,1,3,Offline
14-01-2025,Kelly Mullins,54,Other,Mariabury,Lenovo,Lenovo 279,i5,4GB,512GB SSD,12130,9,11038.3,Debit Card,2,4,Offline
23-01-2025,Richard Oconnor,57,Other,Greenside,Dell,Dell 671,Ryzen 3,8GB,1TB SSD,7820,14,6725.2,Net Banking,1,4,Online
05-01-2025,James Cantu,37,Other,Wilsonfurt,Lenovo,Lenovo 632,Ryzen 5,8GB,1TB HDD,17810,20,14248,Debit Card,3,2,Offline
18-01-2025,Lori Wall,18,Female,Lopezbury,MSI,MSI 779,i3,8GB,1TB SSD,16980,0,16980,Cash,1,4,Online
03-01-2025,Monica Rowe,45,Other,East Vickiestad,Acer,Acer 195,Ryzen 5,32GB,1TB SSD,17110,13,14885.7,Credit Card,1,1,Offline
17-01-2025,Kelly Hunter,24,Other,Goldenton,Apple,Apple 884,i5,16GB,1TB HDD,7920,8,7286.4,Debit Card,2,4,Online
02-01-2025,Tracey Lynn,33,Other,West Roberttown,Acer,Acer 970,Ryzen 5,16GB,256GB SSD,4200,26,3108,Debit Card,2,2,Online
19-01-2025,Brian Cardenas,60,Other,Port Lisaberg,MSI,MSI 714,Ryzen 3,32GB,256GB SSD,5250,3,5092.5,Net Banking,3,2,Online
04-01-2025,Mark Tran,60,Male,Michellestad,Asus,Asus 943,i3,4GB,256GB SSD,18360,16,15422.4,Credit Card,3,3,Offline
02-01-2025,Todd Rosales,58,Other,Port Thomastown,HP,HP 978,Ryzen 7,16GB,256GB SSD,21560,13,18757.2,Debit Card,3,5,Offline
17-01-2025,Dr. Linda Burnett,59,Female,Port Geraldmouth,Apple,Apple 151,Ryzen 7,16GB,512GB SSD,14460,8,13303.2,Credit Card,2,4,Offline
21-01-2025,Louis Graham,43,Male,New Sean,Dell,Dell 831,Ryzen 3,8GB,1TB SSD,19860,21,15689.4,Debit Card,3,2,Online
23-01-2025,Paul Thomas,53,Male,Haynesburgh,Samsung,Samsung 842,Ryzen 7,32GB,1TB SSD,4950,5,4702.5,Cash,3,5,Offline
12-01-2025,Emily Barnett,19,Female,South Sean,Acer,Acer 168,i5,8GB,512GB SSD,21590,7,20078.7,Credit Card,1,3,Online
01-01-2025,Christopher Shaffer,30,Female,New Shawn,MSI,MSI 211,Ryzen 3,4GB,1TB SSD,3430,6,3224.2,Debit Card,3,1,Online
05-01-2025,Carla Moore,18,Female,Stephenbury,HP,HP 324,Ryzen 3,8GB,1TB HDD,8420,14,7241.2,Net Banking,3,5,Offline
09-01-2025,Lisa Robinson,25,Male,Laurachester,Lenovo,Lenovo 558,i3,16GB,1TB HDD,13830,18,11340.6,Credit Card,3,2,Online
21-01-2025,Dustin Ruiz,27,Female,Port Shannon,Acer,Acer 622,i3,4GB,1TB SSD,14280,9,12994.8,Credit Card,1,4,Offline
01-01-2025,Rachel Baker,24,Female,Lake Jeffrey,Samsung,Samsung 647,i3,8GB,1TB SSD,23460,21,18533.4,Cash,1,2,Online
02-01-2025,Andrew Small,28,Other,Denisemouth,HP,HP 999,Ryzen 3,8GB,256GB SSD,10920,8,10046.4,Cash,2,2,Offline
03-01-2025,Tina Jones,65,Female,New Kristinechester,Samsung,Samsung 339,Ryzen 3,8GB,512GB SSD,7700,27,5621,Cash,1,5,Offline
11-01-2025,Ashley Miller,19,Female,North Alexside,Lenovo,Lenovo 686,Ryzen 3,4GB,1TB SSD,20550,12,18084,Credit Card,2,4,Offline
11-01-2025,Mary Brown,49,Male,Samuelview,MSI,MSI 630,i5,4GB,1TB HDD,3090,12,2719.2,Cash,1,1,Online
22-01-2025,Steven Serrano,32,Other,Donaldport,Asus,Asus 435,Ryzen 7,8GB,256GB SSD,19110,21,15096.9,UPI,1,3,Offline
01-01-2025,Philip Cook,24,Other,South Maryborough,Acer,Acer 514,Ryzen 5,8GB,256GB SSD,24410,20,19528,Debit Card,1,5,Offline
11-01-2025,Judith Huang,54,Female,Dustinport,Samsung,Samsung 873,Ryzen 5,4GB,1TB HDD,12630,13,10988.1,Cash,3,5,Online
12-01-2025,Christine Buchanan,28,Male,South Tracyhaven,Dell,Dell 971,i7,4GB,512GB SSD,20740,23,15969.8,Cash,3,3,Offline
11-01-2025,Carrie Davis,59,Male,North Maryfort,Acer,Acer 720,i7,4GB,256GB SSD,14610,11,13002.9,Net Banking,3,5,Offline
02-01-2025,Amber Rodriguez,20,Other,Smithport,Samsung,Samsung 193,i7,8GB,512GB SSD,19450,14,16727,Net Banking,2,2,Online
20-01-2025,James Sanchez,19,Other,Faulknerview,Samsung,Samsung 381,Ryzen 3,4GB,256GB SSD,21890,15,18606.5,Cash,3,4,Online
13-01-2025,Willie Taylor,57,Other,Garyfort,MSI,MSI 617,Ryzen 3,8GB,512GB SSD,16110,16,13532.4,Cash,1,4,Offline
03-01-2025,Veronica Austin,61,Other,East Jeffery,Dell,Dell 508,Ryzen 7,8GB,512GB SSD,18100,1,17919,UPI,1,3,Offline
23-01-2025,Matthew Ferguson,64,Other,Port Edwardtown,Asus,Asus 802,Ryzen 3,4GB,256GB SSD,8110,5,7704.5,UPI,3,2,Offline
02-01-2025,Gregory Owen,35,Female,Katelynton,Apple,Apple 636,Ryzen 3,32GB,1TB SSD,11030,4,10588.8,UPI,3,3,Online
19-01-2025,Pamela Reed,58,Male,Natalieburgh,Acer,Acer 908,Ryzen 3,8GB,512GB SSD,7220,10,6498,Net Banking,1,3,Offline
05-01-2025,Erika Powell,29,Other,Maryshire,Asus,Asus 839,Ryzen 3,8GB,1TB HDD,18930,5,17983.5,Cash,1,4,Online
06-01-2025,Courtney Patel,39,Other,Melissaview,Asus,Asus 204,i5,4GB,1TB SSD,18120,11,16126.8,Credit Card,3,4,Offline
23-01-2025,Anthony Hall,42,Other,Lake Amber,Asus,Asus 116,Ryzen 5,16GB,1TB SSD,14760,26,10922.4,UPI,1,1,Offline
23-01-2025,Alexis Johnson,58,Other,Tylerchester,HP,HP 998,Ryzen 7,4GB,256GB SSD,22710,19,18395.1,Net Banking,1,1,Offline
15-01-2025,Sharon Arnold,55,Male,Kimberlybury,Acer,Acer 912,i3,4GB,1TB HDD,11600,12,10208,UPI,1,3,Offline
08-01-2025,Maria Franco,24,Female,Lauraberg,Asus,Asus 307,i3,8GB,512GB SSD,17990,19,14571.9,Debit Card,2,4,Online
20-01-2025,Rebecca Burns,33,Female,East Ashley,Samsung,Samsung 971,i7,4GB,256GB SSD,13880,30,9716,Debit Card,3,1,Online
14-01-2025,Nicole Miller,20,Female,Whitechester,Apple,Apple 567,Ryzen 3,4GB,1TB SSD,5460,19,4422.6,Debit Card,2,1,Offline
06-01-2025,Jennifer Rowe,26,Male,East Aprilton,Asus,Asus 511,i5,8GB,1TB HDD,20530,13,17861.1,Credit Card,2,5,Offline
18-01-2025,Christopher Sanchez,46,Other,Faulknerborough,Samsung,Samsung 386,i7,8GB,512GB SSD,23180,22,18080.4,UPI,3,3,Offline
02-01-2025,Michael Thomas,64,Other,Bridgesmouth,MSI,MSI 472,i7,16GB,512GB SSD,23560,4,22617.6,UPI,3,1,Offline
20-01-2025,Leah Walker,39,Male,North Pamelaburgh,Apple,Apple 971,i3,4GB,256GB SSD,9380,25,7035,UPI,2,2,Online
10-01-2025,Nancy Jones,33,Male,Joshuabury,HP,HP 918,i7,16GB,256GB SSD,11530,0,11530,UPI,2,4,Online
17-01-2025,Vincent Yoder,58,Other,Aaronhaven,MSI,MSI 668,Ryzen 7,8GB,256GB SSD,14620,9,13304.2,UPI,3,5,Offline
22-01-2025,Katie Rice,55,Other,North Nancymouth,Samsung,Samsung 247,Ryzen 3,8GB,1TB SSD,21390,28,15400.8,Net Banking,3,3,Online
09-01-2025,Sara Wagner,65,Male,South Christopher,Apple,Apple 475,Ryzen 5,8GB,1TB HDD,14790,6,13902.6,Credit Card,3,2,Online
01-01-2025,Jill Robinson,65,Male,North Deborah,Lenovo,Lenovo 956,i3,8GB,512GB SSD,8860,28,6379.2,Credit Card,3,3,Online
03-01-2025,Dustin Bridges,42,Other,Torresstad,Dell,Dell 192,Ryzen 5,8GB,1TB SSD,13740,15,11679,Debit Card,1,5,Offline
17-01-2025,Lynn Contreras,19,Other,New Adamshire,Apple,Apple 885,Ryzen 3,32GB,256GB SSD,21670,5,20586.5,Debit Card,2,4,Offline
19-01-2025,Matthew Cross,34,Other,Lake Alicia,Asus,Asus 675,Ryzen 7,16GB,1TB SSD,8550,12,7524,Debit Card,3,1,Online
07-01-2025,Joshua Stone,57,Male,New Angela,Samsung,Samsung 491,Ryzen 7,8GB,256GB SSD,19070,1,18879.3,Cash,1,4,Offline
20-01-2025,Mitchell Sandoval,29,Male,East Bryanmouth,Samsung,Samsung 803,i5,8GB,1TB SSD,11890,29,8441.9,Cash,3,5,Online
18-01-2025,Timothy Stevens,38,Male,Kennedyton,Apple,Apple 258,Ryzen 5,8GB,1TB SSD,10010,30,7007,Credit Card,3,4,Online
23-01-2025,Jasmine Simon,58,Female,Lake Danielfort,Lenovo,Lenovo 666,Ryzen 5,8GB,512GB SSD,9820,10,8838,UPI,3,2,Online
08-01-2025,Brittney Clark,38,Other,Lancefurt,Acer,Acer 373,Ryzen 3,4GB,1TB SSD,21960,23,16909.2,Net Banking,1,2,Offline
20-01-2025,Sandra Turner,33,Male,Lake Melissafort,Asus,Asus 367,i7,32GB,256GB SSD,10390,28,7480.8,Net Banking,3,5,Online
01-01-2025,Brandon Arellano,29,Other,Lake Andreaport,Apple,Apple 550,i3,8GB,256GB SSD,16560,7,15400.8,Cash,2,5,Online
09-01-2025,William Taylor,31,Female,Port Richard,Asus,Asus 241,Ryzen 5,8GB,512GB SSD,9110,0,9110,Credit Card,1,3,Online
08-01-2025,Rebecca Mcdowell,53,Male,Port Jeffrey,Apple,Apple 138,i3,16GB,1TB SSD,22070,16,18538.8,Cash,3,5,Offline
04-01-2025,Matthew Edwards,61,Male,Lake Chrisville,Asus,Asus 783,Ryzen 5,16GB,512GB SSD,12690,20,10152,Cash,2,1,Online
02-01-2025,Samantha Taylor,19,Female,East Mark,Acer,Acer 341,Ryzen 3,4GB,1TB HDD,7480,14,6432.8,Credit Card,2,2,Online
01-01-2025,Jeffrey Harmon,19,Male,North Shawnchester,Apple,Apple 897,Ryzen 7,16GB,256GB SSD,6780,9,6169.8,Debit Card,2,3,Online
03-01-2025,Allison Jones,21,Other,Phillipsberg,Lenovo,Lenovo 105,Ryzen 5,32GB,1TB SSD,6380,6,5997.2,Cash,2,1,Online
06-01-2025,Erin Cain,43,Male,Brownberg,Apple,Apple 849,i5,4GB,512GB SSD,9440,3,9156.8,Net Banking,2,4,Online
04-01-2025,Joe Dixon,25,Other,Scottbury,HP,HP 218,i3,32GB,1TB SSD,7280,4,6988.8,Debit Card,1,1,Offline
21-01-2025,Jasmine Miranda,26,Other,Lake Carrie,Asus,Asus 777,Ryzen 7,32GB,512GB SSD,11100,29,7881,Cash,3,2,Offline
03-01-2025,Charles Williams,54,Male,Kristinemouth,MSI,MSI 489,i7,8GB,256GB SSD,10320,14,8875.2,UPI,3,1,Offline
02-01-2025,Chad Simpson,29,Male,Katiestad,HP,HP 391,i3,32GB,512GB SSD,16800,27,12264,Credit Card,3,3,Online
02-01-2025,Steven Joyce,56,Female,New Janetfort,MSI,MSI 231,i3,8GB,1TB HDD,17330,23,13344.1,Net Banking,1,1,Offline
07-01-2025,Julie Kelly,26,Other,Watsonstad,Samsung,Samsung 943,i3,4GB,512GB SSD,21580,3,20932.6,Debit Card,2,2,Offline
19-01-2025,Matthew Orr,53,Female,Jasmineville,Asus,Asus 496,i7,8GB,512GB SSD,4100,8,3772,Credit Card,3,2,Online
13-01-2025,Rebecca Cook,48,Male,Mossfurt,MSI,MSI 226,i7,8GB,1TB SSD,12450,17,10333.5,Net Banking,2,1,Online
10-01-2025,Joseph Moses,46,Other,Williamsstad,HP,HP 541,Ryzen 3,4GB,1TB SSD,12340,4,11846.4,Debit Card,2,5,Offline
04-01-2025,Lori Banks,38,Female,Tonyville,Apple,Apple 947,Ryzen 7,4GB,512GB SSD,14690,1,14543.1,Debit Card,1,1,Offline
03-01-2025,Amy Knapp,43,Female,Carneyton,Samsung,Samsung 477,Ryzen 3,16GB,256GB SSD,18190,14,15643.4,Cash,3,3,Offline
09-01-2025,Ryan Henry,45,Male,West Melissa,Lenovo,Lenovo 357,Ryzen 3,4GB,512GB SSD,13280,14,11420.8,Net Banking,1,1,Online
04-01-2025,Kevin Cordova,25,Other,Lyonshaven,HP,HP 139,i5,4GB,1TB SSD,12410,3,12037.7,Net Banking,2,3,Offline
17-01-2025,Emily Perez,28,Female,Caldwellton,Dell,Dell 657,i3,4GB,1TB HDD,21340,3,20699.8,Debit Card,3,1,Offline
23-01-2025,Melinda Brown,63,Male,Kennethchester,Samsung,Samsung 186,i5,4GB,1TB SSD,21550,3,20903.5,Debit Card,1,4,Offline
03-01-2025,Nicholas Valdez,23,Male,Port Tammyborough,Acer,Acer 469,Ryzen 5,16GB,1TB SSD,15290,6,14372.6,Net Banking,1,1,Online
14-01-2025,John Smith,19,Other,Lake Robertborough,MSI,MSI 286,i7,16GB,1TB SSD,20440,22,15943.2,Net Banking,3,3,Online
20-01-2025,Caitlin Moore,31,Male,Hinesberg,Dell,Dell 441,i5,8GB,1TB SSD,9410,26,6963.4,Net Banking,2,4,Offline
19-01-2025,Autumn Stephenson,27,Male,West James,Asus,Asus 699,i3,8GB,512GB SSD,22450,0,22450,Credit Card,1,3,Offline
11-01-2025,Christopher Carr,45,Male,West Christopher,Acer,Acer 438,Ryzen 7,4GB,256GB SSD,7770,1,7692.3,Net Banking,3,4,Online
14-01-2025,Mrs. Heather Black,34,Male,West Harrymouth,Dell,Dell 866,Ryzen 7,16GB,512GB SSD,5780,26,4277.2,Cash,3,3,Offline
11-01-2025,Mrs. Stacey Castro DDS,33,Other,South Richard,HP,HP 424,i5,4GB,1TB HDD,23550,1,23314.5,Cash,2,5,Offline
03-01-2025,Abigail Le,56,Other,Dianehaven,Samsung,Samsung 754,i5,4GB,512GB SSD,21970,18,18015.4,Net Banking,3,1,Offline
21-01-2025,Susan Leonard,56,Other,Staceymouth,Acer,Acer 204,Ryzen 3,32GB,256GB SSD,9080,6,8535.2,Net Banking,2,1,Offline
21-01-2025,Sarah Scott,54,Female,Blanchardburgh,Lenovo,Lenovo 338,i5,16GB,1TB SSD,10490,6,9860.6,Cash,3,5,Online
09-01-2025,Christina Phillips,57,Female,New Michele,Dell,Dell 168,Ryzen 7,16GB,512GB SSD,20640,27,15067.2,Debit Card,1,2,Online
04-01-2025,Meghan Walker,50,Female,West Jasonfurt,Apple,Apple 208,i3,32GB,256GB SSD,9480,21,7489.2,Credit Card,3,3,Online
21-01-2025,Ralph Smith,33,Female,East Gordonland,Samsung,Samsung 250,i3,4GB,1TB SSD,3910,23,3010.7,Cash,3,5,Online
10-01-2025,Anthony Freeman,22,Other,North Emily,MSI,MSI 366,i7,8GB,512GB SSD,7920,14,6811.2,UPI,3,5,Offline
18-01-2025,Juan Robertson,50,Female,Curtismouth,Samsung,Samsung 111,Ryzen 5,8GB,256GB SSD,4050,8,3726,Cash,1,4,Offline
16-01-2025,Anthony Henry,48,Other,Gilbertberg,HP,HP 948,i5,8GB,1TB SSD,6480,9,5896.8,Cash,2,1,Online
18-01-2025,Jeffery Walker,50,Female,Mcdanielmouth,Acer,Acer 910,i5,32GB,512GB SSD,21970,23,16916.9,Net Banking,3,4,Offline
15-01-2025,Melissa Sanchez,20,Other,Kyleshire,Asus,Asus 334,Ryzen 7,4GB,1TB HDD,6620,25,4965,Cash,2,1,Offline
13-01-2025,Erik King,20,Female,Stevenschester,Lenovo,Lenovo 281,Ryzen 3,16GB,512GB SSD,16650,23,12820.5,Net Banking,2,1,Offline
15-01-2025,Crystal White,29,Female,Goodmanstad,Dell,Dell 719,Ryzen 3,16GB,1TB SSD,18710,17,15529.3,Debit Card,3,3,Online
16-01-2025,Robert Murray,35,Female,Jeffreychester,Acer,Acer 255,i3,32GB,256GB SSD,9260,17,7685.8,UPI,1,4,Online
14-01-2025,Steven Shaw,40,Other,South Cindyview,Lenovo,Lenovo 945,Ryzen 7,32GB,1TB HDD,8120,0,8120,Cash,3,2,Offline
12-01-2025,Loretta Ross,52,Other,North Stephenview,Lenovo,Lenovo 728,i3,32GB,512GB SSD,13580,12,11950.4,Net Banking,1,5,Online
18-01-2025,Alicia Adams,45,Male,Amyfort,HP,HP 191,i7,4GB,512GB SSD,7620,18,6248.4,Debit Card,2,5,Online
19-01-2025,Amanda Johnson,63,Female,Courtneyberg,HP,HP 338,i5,32GB,1TB SSD,3010,10,2709,Debit Card,1,1,Offline
07-01-2025,George George,53,Other,North Nancybury,HP,HP 510,i7,4GB,512GB SSD,17750,29,12602.5,UPI,2,4,Offline
05-01-2025,Charles Martin,25,Other,West Stacyshire,HP,HP 539,i7,4GB,512GB SSD,14840,8,13652.8,Credit Card,3,4,Online
19-01-2025,Shawn Byrd,48,Other,East Amandastad,Samsung,Samsung 865,i3,8GB,1TB HDD,4710,17,3909.3,Cash,3,1,Offline
23-01-2025,Melissa Brown,53,Male,Grantbury,HP,HP 378,i3,32GB,1TB HDD,19940,16,16749.6,Credit Card,1,3,Offline
22-01-2025,Shelley Alvarez,58,Female,Joshuamouth,Acer,Acer 659,Ryzen 3,8GB,1TB SSD,21030,9,19137.3,Cash,2,5,Online
05-01-2025,Paul Brown,38,Female,New Jennifer,Acer,Acer 421,Ryzen 7,4GB,256GB SSD,8080,19,6544.8,Debit Card,3,5,Online
13-01-2025,Dorothy Montgomery MD,61,Female,North Richardville,Asus,Asus 352,Ryzen 7,32GB,256GB SSD,17380,3,16858.6,Credit Card,2,1,Online
03-01-2025,Robyn Hart,32,Other,Robinville,MSI,MSI 312,Ryzen 3,16GB,512GB SSD,19820,22,15459.6,Debit Card,1,5,Offline
17-01-2025,Leslie Robinson,41,Other,Simstown,Dell,Dell 488,Ryzen 3,4GB,256GB SSD,4010,19,3248.1,Cash,2,2,Offline
11-01-2025,Harry Evans,29,Male,Alanbury,Acer,Acer 485,Ryzen 3,16GB,1TB SSD,20660,15,17561,Net Banking,1,3,Offline
05-01-2025,Allison Terry,28,Male,Huntertown,Acer,Acer 422,Ryzen 3,16GB,1TB SSD,21140,10,19026,Cash,1,5,Offline
14-01-2025,Anthony Levine,38,Male,South David,Lenovo,Lenovo 900,Ryzen 5,4GB,1TB SSD,8350,7,7765.5,UPI,2,4,Online
04-01-2025,Kathy Jennings,58,Male,Natalieton,MSI,MSI 444,Ryzen 7,16GB,256GB SSD,7440,12,6547.2,UPI,3,5,Online
04-01-2025,Jennifer Gray,21,Male,Sarahport,MSI,MSI 264,i5,4GB,512GB SSD,9230,9,8399.3,Debit Card,2,4,Offline
04-01-2025,Amber Johnson,37,Female,Lake Jeffrey,Apple,Apple 882,i7,4GB,1TB SSD,4130,3,4006.1,Credit Card,1,3,Online
16-01-2025,Diana Villarreal,41,Other,Timothymouth,Acer,Acer 646,Ryzen 5,32GB,256GB SSD,3250,24,2470,Cash,1,1,Offline
04-01-2025,Ryan Wright,48,Other,South Noahbury,Samsung,Samsung 672,i5,8GB,256GB SSD,10080,18,8265.6,Cash,2,4,Offline
04-01-2025,Dawn King,46,Male,Fredchester,MSI,MSI 911,i7,8GB,1TB SSD,6110,4,5865.6,Credit Card,1,1,Offline
04-01-2025,Arthur Hicks,32,Other,Tylerport,Samsung,Samsung 450,i5,32GB,1TB HDD,18800,27,13724,Cash,1,4,Online
12-01-2025,Tamara Pratt,41,Female,Roseberg,Apple,Apple 417,i5,4GB,512GB SSD,23620,10,21258,UPI,2,3,Online
01-01-2025,Sarah Melton,61,Female,New Danielleburgh,Acer,Acer 412,Ryzen 7,16GB,1TB HDD,22130,10,19917,Debit Card,1,1,Online
21-01-2025,Sierra Miles,30,Male,Riggstown,Samsung,Samsung 392,Ryzen 5,32GB,256GB SSD,21460,14,18455.6,Net Banking,1,2,Online
02-01-2025,Michael Boyer,49,Male,Port Patrick,Dell,Dell 296,Ryzen 5,32GB,512GB SSD,5980,28,4305.6,Net Banking,2,1,Online
20-01-2025,Brenda Diaz,22,Other,Danielleshire,MSI,MSI 352,i3,16GB,1TB HDD,10960,1,10850.4,Net Banking,3,2,Online
11-01-2025,Mrs. Elizabeth Johnson,35,Other,West Elizabethmouth,Lenovo,Lenovo 438,i5,16GB,256GB SSD,4460,27,3255.8,Credit Card,3,1,Offline
16-01-2025,Pamela Perry,48,Other,Donnaton,Acer,Acer 626,i3,32GB,1TB HDD,10050,8,9246,UPI,2,3,Offline
05-01-2025,Daniel Riley,45,Male,Amberfort,Lenovo,Lenovo 939,Ryzen 5,16GB,256GB SSD,22460,19,18192.6,Cash,1,4,Online
22-01-2025,Anthony Davis,59,Other,Hardingbury,Asus,Asus 346,Ryzen 7,4GB,512GB SSD,24980,14,21482.8,Cash,3,3,Offline
16-01-2025,Denise Daniels,57,Other,Hernandezport,MSI,MSI 700,Ryzen 5,8GB,256GB SSD,15530,10,13977,Net Banking,3,2,Online
23-01-2025,Linda Burke,35,Female,Davisborough,Apple,Apple 359,Ryzen 3,8GB,256GB SSD,6660,27,4861.8,Cash,3,4,Online
23-01-2025,Shannon King,35,Male,Holmesport,Lenovo,Lenovo 951,Ryzen 5,8GB,1TB SSD,9660,16,8114.4,Debit Card,1,5,Online
05-01-2025,Cynthia Lopez,25,Other,South Jeffreybury,Samsung,Samsung 130,Ryzen 3,8GB,512GB SSD,10060,16,8450.4,Cash,1,5,Online
